Company Name,tradingsymbol,exchange_token
Lloyds Metals and Energy Limited,LLOYDSME,17313
LMW Limited,LMW,1979
Lodha Developers Limited,LODHA,3220
Larsen & Toubro Limited,LT,11483
LT Foods Limited,LTFOODS,13816
LTM Limited,LTM,17818
L&T Technology Services Limited,LTTS,18564
Lumax Industries Limited,LUMAXIND,2018
Lumax Auto Technologies Limited,LUMAXTECH,14014
Lupin Limited,LUPIN,10440
Lux Industries Limited,LUXIND,11301
Mahindra & Mahindra Limited,M&M,2031
Mahamaya Steel Industries Limited,MAHASTEEL,17531
Mahindra Logistics Limited,MAHLOG,385
Maharashtra Scooters Ltd.,MAHSCOOTER,2085
Maharashtra Seamless Limited,MAHSEAMLES,2088
Maithan Alloys Limited,MAITHANALL,24538
Mallcom (India) Limited,MALLCOM,7965
Mamata Machinery Limited,MAMATA,28687
Mangalam Cement Limited,MANGLMCEM,2106
Man Industries (India) Limited,MANINDS,11884
Mankind Pharma Limited,MANKIND,15380
Manorama Industries Limited,MANORAMA,10227
Mangalam Organics Limited,MANORG,6422
Vedant Fashions Limited,MANYAVAR,8167
C. E. Info Systems Limited,MAPMYINDIA,7227
Marathon Nextgen Realty Limited,MARATHON,18659
Marico Limited,MARICO,4067
Maruti Suzuki India Limited,MARUTI,10999
Mastek Limited,MASTEK,2124
Matrimony.com Limited,MATRIMONY,21726
Max Healthcare Institute Limited,MAXHEALTH,22377
Mayur Uniquoters Limited,MAYURUNIQ,28906
Mazagon Dock Shipbuilders Limited,MAZDOCK,509
Multi Commodity Exchange of India Limited,MCX,31181
Global Health Limited,MEDANTA,11956
MedPlus Health Services Limited,MEDPLUS,7254
Metro Brands Limited,METROBRAND,7242
Metropolis Healthcare Limited,METROPOLIS,9581
Max Financial Services Limited,MFSL,2142
Mahanagar Gas Limited,MGL,17534
Minda Corporation Limited,MINDACORP,25897
M M Forgings Limited,MMFL,13844
Mold-Tek Packaging Limited,MOLDTKPAC,6713
Monte Carlo Fashions Limited,MONTECARLO,5938
Motilal Oswal Financial Services Limited,MOTILALOFS,14947
Mphasis Limited,MPHASIS,4503
MPS Limited,MPSLTD,10578
MRF Limited,MRF,2277
MTAR Technologies Limited,MTARTECH,2709
Muthoot Finance Limited,MUTHOOTFIN,23650
Nippon Life India Asset Management Limited,NAM-INDIA,357
NATCO Pharma Limited,NATCOPHARM,3918
National Aluminium Company Limited,NATIONALUM,6364
Info Edge (India) Limited,NAUKRI,13751
Nava Limited,NAVA,4014
Navin Fluorine International Limited,NAVINFLUOR,14672
NDR Auto Components Limited,NDRAUTO,22255
Nelco Limited,NELCO,2388
Neogen Chemicals Limited,NEOGEN,9917
Nesco Limited,NESCO,15409
Nestlé India Limited,NESTLEIND,17963
Netweb Technologies India Limited,NETWEB,17433
Neuland Laboratories Limited,NEULANDLAB,2406
Newgen Software Technologies Limited,NEWGEN,1164
NGL Fine-Chem Limited,NGLFINE,10277
Narayana Hrudayalaya Limited,NH,11840
Nibe Limited,NIBE,29487
Nilkamal Limited,NILKAMAL,2421
NINtec Systems Limited,NINSYS,14194
Nitin Spinners Limited,NITINSPIN,13175
Novartis India Limited,NOVARTIND,9007
Network People Services Technologies Limited,NPST,756324
Nalwa Sons Investments Limited,NSIL,11239
Nucleus Software Exports Limited,NUCLEUS,10791
Nuvama Wealth Management Limited,NUVAMA,18721
Oberoi Realty Limited,OBEROIRLTY,20242
Oracle Financial Services Software Limited,OFSS,10738
Oil India Limited,OIL,17438
Olectra Greentech Limited,OLECTRA,10637
OneSource Specialty Pharma Limited,ONESOURCE,29224
Optiemus Infracom Limited,OPTIEMUS,21469
The Orissa Minerals Development Company Limited,ORISSAMINE,19931
Orkla India Limited,ORKLAINDIA,759569
Oswal Pumps Limited,OSWALPUMPS,756802
Page Industries Limited,PAGEIND,14413
Paras Defence and Space Technologies Limited,PARAS,5911
Patanjali Foods Limited,PATANJALI,17029
Paushak Limited,PAUSHAKLTD,759969
One97 Communications Limited,PAYTM,6705
Persistent Systems Limited,PERSISTENT,18365
Power Finance Corporation Limited,PFC,14299
Pfizer Limited,PFIZER,2643
PG Electroplast Limited,PGEL,25358
Procter & Gamble Hygiene and Health Care Limited,PGHH,2535
Procter & Gamble Health Limited,PGHL,940
Pearl Global Industries Limited,PGIL,14260
The Phoenix Mills Limited,PHOENIXLTD,14552
Piccadily Agro Industries Limited,PICCADIL,757754
Pidilite Industries Limited,PIDILITIND,2664
PI Industries Limited,PIIND,24184
Pilani Investment and Industries Corporation Limited,PILANIINVS,11445
Piramal Finance Limited,PIRAMALFIN,759551
Pitti Engineering Limited,PITTIENG,14134
PIX Transmissions Limited,PIXTRANS,9087
PNB Housing Finance Limited,PNBHOUSING,18908
Pondy Oxides And Chemicals Limited,POCL,14385
Pokarna Limited,POKARNA,17651
PB Fintech Limited,POLICYBZR,6656
Polycab India Limited,POLYCAB,9590
Poly Medicure Limited,POLYMED,25718
Polyplex Corporation Limited,POLYPLEX,2687
Poonawalla Fincorp Limited,POONAWALLA,11403
Hitachi Energy India Limited,POWERINDIA,18457
Power Mech Projects Limited,POWERMECH,10473
Prestige Estates Projects Limited,PRESTIGE,20302
Pricol Limited,PRICOLLTD,19631
Privi Speciality Chemicals Limited,PRIVISCL,8825
Protean eGov Technologies Limited,PROTEAN,29472
Prudent Corporate Advisory Services Limited,PRUDENT,9553
PSP Projects Limited,PSPPROJECT,20877
PTC Industries Limited,PTCIL,16682
Punjab Chemicals and Crop Protection Limited,PUNJABCHEM,4344
PVR INOX Limited,PVRINOX,13147
RACL Geartech Limited,RACLGEAR,27171
Radico Khaitan Limited,RADICO,10990
Rainbow Children's Medicare Limited,RAINBOW,9408
The Ramco Cements Limited,RAMCOCEM,2043
Ramco Systems Limited,RAMCOSYS,7851
Ramky Infrastructure Limited,RAMKY,20134
Rane Holdings Limited,RANEHOLDIN,2844
RateGain Travel Technologies Limited,RATEGAIN,7177
Ratnamani Metals & Tubes Limited,RATNAMANI,13451
Raymond Limited,RAYMOND,2859
Raymond Lifestyle Limited,RAYMONDLSL,25073
Raymond Realty Limited,RAYMONDREL,758551
Reliance Industries Limited,RELIANCE,2885
Repco Home Finance Limited,REPCOHOME,29598
RHI Magnesita India Limited,RHIM,31163
Reliance Industrial Infrastructure Limited,RIIL,2912
Rishabh Instruments Limited,RISHABH,18417
Ramkrishna Forgings Limited,RKFORGE,11411
RMC Switchgears Limited,RMC,762347
Rane (Madras) Limited,RML,11975
Rossari Biotech Limited,ROSSARI,19410
Rossell Techsys Limited,ROSSTECH,27353
Route Mobile Limited,ROUTE,128
Raghav Productivity Enhancers Limited,RPEL,24735
RPG Life Sciences Limited,RPGLIFE,16725
RPSG Ventures Limited,RPSGVENT,8119
Rashi Peripherals Limited,RPTECH,22670
R R Kabel Limited,RRKABEL,18566
Rubicon Research Limited,RUBICON,759316
Keystone Realtors Limited,RUSTOMJEE,12219
Revathi Equipment India Limited,RVTH,25157
Saatvik Green Energy Limited,SAATVIKGL,759057
Sai Life Sciences Limited,SAILIFE,27839
Sai Parenteral's Limited,SAIPARENT,761675
Sanathan Textiles Limited,SANATHAN,28805
The Sandesh Limited,SANDESH,2988
Sandhar Technologies Limited,SANDHAR,2397
Sangam (India) Limited,SANGAMIND,4184
Sanofi India Limited,SANOFI,1442
Sanofi Consumer Healthcare India Limited,SANOFICONR,25222
Sansera Engineering Limited,SANSERA,5751
Sarda Energy & Minerals Limited,SARDAEN,17758
Sasken Technologies Limited,SASKEN,11983
SBI Cards and Payment Services Limited,SBICARD,17971
SBI Life Insurance Company Limited,SBILIFE,21808
State Bank of India,SBIN,3045
Schaeffler India Limited,SCHAEFFLER,1011
Schneider Electric Infrastructure Limited,SCHNEIDER,31238
Seamec Limited,SEAMECLTD,2616
Senores Pharmaceuticals Limited,SENORES,28888
Sheela Foam Limited,SFL,19184
SG Finserve Limited,SGFIN,758853
Synergy Green Industries Limited,SGIL,5114
SG Mart Limited,SGMART,758889
Shaily Engineering Plastics Limited,SHAILY,8727
Shakti Pumps (India) Limited,SHAKTIPUMP,25574
Shanthi Gears Limited,SHANTIGEAR,3078
Sharda Cropchem Limited,SHARDACROP,4992
Shilchar Technologies Limited,SHILCTECH,759847
Shilpa Medicare Limited,SHILPAMED,17752
Shree Cement Limited,SHREECEM,3103
SPR Auto Technologies Limited,SHRIPISTON,17186
Shriram Finance Limited,SHRIRAMFIN,4306
Shyam Metalics and Energy Limited,SHYAMMETL,4693
Siemens Limited,SIEMENS,3150
Signatureglobal (India) Limited,SIGNATURE,18743
SIL Investments Limited,SILINV,4105
Sirca Paints India Limited,SIRCA,11050
Siyaram Silk Mills Limited,SIYSIL,14096
S.J.S. Enterprises Limited,SJS,6643
SKF India Limited,SKFINDIA,3186
SKF India (Industrial) Limited,SKFINDUS,760101
Skipper Limited,SKIPPER,9428
Sky Gold and Diamonds Limited,SKYGOLD,13631
Smartworks Coworking Spaces Limited,SMARTWORKS,757965
SML Mahindra Limited,SMLMAH,3387
SMS Pharmaceuticals Limited,SMSPHARMA,14329
Sobha Limited,SOBHA,13826
Solara Active Pharma Sciences Limited,SOLARA,3672
Solar Industries India Limited,SOLARINDS,13332
Somany Ceramics Limited,SOMANYCERA,3880
Sona BLW Precision Forgings Limited,SONACOMS,4684
