tradingsymbol,exchange_token
TVSHLTD,29008
TVSMOTOR,8479
TVSSRICHAK,14245
UBL,16713
UFLEX,1053
ULTRACEMCO,11532
UNIMECH,28960
UNIPARTS,13057
UNITDSPR,10447
UNITEDTEA,17999
UNIVCABLES,3607
UNIVPHOTO,17661
UNOMINDA,14154
UPL,11287
USHAMART,8840
UTIAMC,527
VADILALIND,24196
VARROC,3857
VBL,18921
VEDL,3063
VEEDOL,14019
VENKEYS,3757
VENTIVE,28847
VENUSPIPES,9592
VENUSREM,13859
VESUVIUS,3676
VHL,11892
VIJAYA,5585
VIMTALABS,13101
VINATIORGA,17364
VINDHYATEL,3694
VISHNU,6908
VMART,29284
VOLTAMP,13577
VOLTAS,3718
VSTTILLERS,24292
VTL,2073
WAAREEENER,25907
WAAREEINDO,19959
WAAREERTL,756038
WABAG,20188
WEALTH,1923
WELCORP,11821
WELENT,11626
WELINV,19800
WENDT,4235
WESTLIFE,11580
WEWORK,759434
WHEELS,3766
WHIRLPOOL,18011
WINDLAS,5366
WOCKPHARMA,7506
WONDERLA,3002
WSTCSTPAPR,3799
XPROINDIA,11407
YASHO,18131
YATHARTH,17738
YUKEN,5501
ZENSARTECH,1076
ZENTEC,7508
ZFCVINDIA,16915
ZOTA,11394
ZYDUSLIFE,7929
ZYDUSWELL,17635
3BBLACKBIO,762518
AKCAPIT,762538
AAYUSHBULL,540718
ACROW,513149
ADCINDIA,523411
AFCOM,544224
ALFREDHE,505216
ALUFLUOR,524634
AMAL,506597
AMIC,544037
ARYAMAN,530245
ASTAR,762553
ASMTEC,526433
ASSAMENT,542911
ACGL,505036
AVEER,543737
AIRLTD,#N/A
BRRL,543543
BELDING,513307
BENARAS,509438
BENGALASM,762578
BGWTATO,504646
BPLPHARMA,541096
BIMETAL,762588
ZBINTXPP,523054
BIZOTIC,543926
BOMBCYC,501430
BOMOXY-B1,509470
BRADYM,505690
CFF,543920
CIANAGRO,519477
CPML,542727
CNCRD,543619
COSMICCRF,543928
COSPOWER,543172
CREATIVE,539527
DANLAW,532329
DHPIND,531306
DISAQ,762643
DRAGARWQ,762648
ELANTAS,762653
ELCIDIN,762658
EMERGENT,506180
EMPIND,509525
EXHICON,543895
EY,512099
FLUIDOM,522017
FREDUN,539730
FRONTSP,762685
HARDCAS,509597
HAWKINCOOK,4444
HIGHENE,504176
HINDHARD,505893
HIIL,539984
